0,1000000000,1500000000,2000000000,2500000000,3000000000
16,0.249380,0.377445,0.489526,0.622561,0.754312,
32,0.210189,0.327789,0.442864,0.552622,0.676358,
2,1.142315,1.701390,2.249693,2.793178,3.405370,
4,0.572975,0.907654,1.187887,1.454775,1.782925,
8,0.383395,0.576755,0.757335,0.915236,1.260768,
16,0.251152,0.376260,0.489089,0.627325,0.747183,
32,0.221898,0.336518,0.432669,0.557230,0.665542,
2,1.117728,1.687146,2.254075,2.836952,3.382758,
4,0.581083,0.980641,1.175810,1.523640,1.852959,
8,0.427235,0.558627,0.819742,0.937189,1.091727,
16,0.252717,0.383500,0.502762,0.618065,0.740349,
32,0.222408,0.356478,0.453274,0.546217,0.682455,
2,1.131594,1.697273,2.237943,2.809241,3.398219,
4,0.575684,0.869474,1.188246,1.460991,1.783643,
8,0.410852,0.558350,0.756780,0.940804,1.207643,
16,0.256385,0.372207,0.500065,0.619922,0.752111,
32,0.225714,0.331083,0.448778,0.574143,0.691236,
2,1.124856,1.697489,2.244979,2.830620,3.402148,
4,0.571423,0.922794,1.199665,1.464786,1.794791,
8,0.380347,0.583724,0.725066,0.956753,1.113959,
16,0.250357,0.369285,0.509267,0.615373,0.735026,
32,0.219083,0.329595,0.446570,0.545851,0.684104,
2,1.126555,1.692243,2.257077,2.814362,3.377315,
4,0.597210,0.901081,1.196685,1.453338,1.822716,
8,0.417873,0.555289,0.786287,0.943047,1.149001,
16,0.248234,0.377209,0.493797,0.633242,0.734680,
32,0.247032,0.341986,0.454966,0.578340,0.781815,
2,1.184568,1.737082,2.327447,2.913346,3.508993,
4,0.605158,0.982494,1.249202,1.507114,1.741122,
8,0.382775,0.596549,0.786134,0.907676,1.162632,
16,0.264170,0.369808,0.503881,0.627347,0.740287,
32,0.220357,0.341268,0.442936,0.545765,0.664527,
2,1.118815,1.678735,2.241103,2.844225,3.368734,
4,0.605017,0.935038,1.177892,1.469828,1.777678,
8,0.365988,0.610107,0.746711,0.968025,1.073674,
16,0.249482,0.383777,0.498677,0.611165,0.748743,
32,0.227555,0.320419,0.445123,0.547011,0.687270,
